"","term","frequency"
"1","interest",6
"2","long",5
"3","import",5
"4","humor",4
"5","fear",4
"6","wait",4
"7","tast",4
"8","tree",4
"9","train",4
"10","doll",4
"11","pump",4
"12","bike",4
"13","coil",4
"14","rag",4
"15","use",4
"16","scare",4
"17","hapless",3
"18","sail",3
"19","care",3
"20","like",3
"21","trite",3
"22","cheer",3
"23","entertain",3
"24","expand",3
"25","repeat",3
"26","terrif",3
"27","shrug",3
"28","harmoni",3
"29","smile",3
"30","shop",3
"31","holiday",3
"32","overwrought",3
"33","equal",3
"34","warn",3
"35","cycl",3
"36","doubt",3
"37","forego",3
"38","dust",3
"39","smash",3
"40","decid",3
"41","deceiv",3
"42","level",3
"43","reach",3
"44","efficaci",3
"45","mountain",3
"46","move",3
"47","snake",3
"48","exist",3
"49","invent",3
"50","jail",3
"51","rod",3
"52","dull",3
"53","spot",3
"54","troubl",3
"55","amus",3
"56","time",3
"57","pail",3
"58","righteous",3
"59","delic",3
"60","present",3
"61","hate",3
"62","pet",3
"63","unequ",3
"64","excit",3
"65","sand",3
"66","plastic",3
"67","gruesom",3
"68","temper",3
"69","tenuous",3
"70","scene",3
"71","quizzic",3
"72","front",3
"73","spiritu",3
"74","snow",3
"75","lie",3
"76","unpack",3
"77","creatur",2
"78","red",2
"79","mind",2
"80","serious",2
"81","touch",2
"82","wonder",2
"83","blink",2
"84","icicl",2
"85","drop",2
"86","greas",2
"87","rush",2
"88","uppiti",2
"89","voic",2
"90","haunt",2
"91","ship",2
"92","boundless",2
"93","bone",2
"94","sister",2
"95","lock",2
"96","remain",2
"97","frantic",2
"98","macho",2
"99","belliger",2
"100","blush",2
"101","pack",2
"102","intern",2
"103","wobbl",2
"104","desert",2
"105","habitu",2
"106","blueey",2
"107","respons",2
"108","muddl",2
"109","divis",2
"110","ignor",2
"111","orang",2
"112","dusti",2
"113","bottl",2
"114","tasti",2
"115","tell",2
"116","branch",2
"117","dare",2
"118","channel",2
"119","exot",2
"120","last",2
"121","alert",2
"122","laugh",2
"123","pickl",2
"124","question",2
"125","rigid",2
"126","correct",2
"127","pollut",2
"128","save",2
"129","zani",2
"130","jar",2
"131","wire",2
"132","stroke",2
"133","trot",2
"134","compet",2
"135","daughter",2
"136","gusti",2
"137","health",2
"138","draconian",2
"139","verdant",2
"140","eleg",2
"141","bite",2
"142","earthi",2
"143","adventur",2
"144","maid",2
"145","hope",2
"146","pipe",2
"147","trap",2
"148","writer",2
"149","cushion",2
"150","handl",2
"151","hellish",2
"152","misti",2
"153","stage",2
"154","plan",2
"155","absorb",2
"156","lick",2
"157","man",2
"158","rich",2
"159","edg",2
"160","claim",2
"161","wiri",2
"162","live",2
"163","shelter",2
"164","scarc",2
"165","incred",2
"166","numer",2
"167","seat",2
"168","surpris",2
"169","stale",2
"170","ruddi",2
"171","stamp",2
"172","abject",2
"173","fair",2
"174","testi",2
"175","vein",2
"176","pain",2
"177","frame",2
"178","cheat",2
"179","command",2
"180","key",2
"181","unus",2
"182","unwritten",2
"183","endur",2
"184","jitteri",2
"185","gate",2
"186","middl",2
"187","substanti",2
"188","squalid",2
"189","water",2
"190","enter",2
"191","friend",2
"192","pie",2
"193","trashi",2
"194","continu",2
"195","parallel",2
"196","rang",2
"197","roll",2
"198","finger",2
"199","sip",2
"200","devilish",2
"201","hallow",2
"202","oldfashion",2
"203","tick",2
"204","wick",2
"205","rob",2
"206","bridg",2
"207","obsolet",2
"208","shock",2
"209","letter",2
"210","whirl",2
"211","sleepi",2
"212","kitti",2
"213","mother",2
"214","wigg",2
"215","alleg",2
"216","jump",2
"217","screw",2
"218","chubbi",2
"219","petit",2
"220","plantat",2
"221","bore",2
"222","certain",2
"223","possess",2
"224","debonair",2
"225","nappi",2
"226","spite",2
"227","subsequ",2
"228","frequent",2
"229","adam",2
"230","anger",2
"231","remind",2
"232","harass",2
"233","numberless",2
"234","fri",2
"235","trace",2
"236","form",2
"237","grace",2
"238","sneez",2
"239","bird",2
"240","tasteless",2
"241","truck",2
"242","furnitur",2
"243","cracker",2
"244","wing",2
"245","cruel",2
"246","machin",2
"247","picayun",2
"248","uncl",2
"249","type",2
"250","market",2
"251","peep",2
"252","needl",2
"253","increas",2
"254","alarm",2
"255","muscl",2
"256","protect",2
"257","tug",2
"258","crabbi",2
"259","fret",2
"260","stori",2
"261","opposit",2
"262","steer",2
"263","cute",2
"264","reson",2
"265","grab",2
"266","loaf",2
"267","overjoy",2
"268","woman",2
"269","fire",2
"270","passeng",2
"271","faint",2
"272","diverg",2
"273","bag",2
"274","messi",2
"275","hush",2
"276","shrill",2
"277","warm",2
"278","clammi",2
"279","quixot",2
"280","complain",2
"281","purpos",2
"282","spoon",2
"283","toe",2
"284","welltodo",2
"285","phone",2
"286","first",2
"287","glossi",2
"288","ring",2
"289","wellmad",2
"290","hat",2
"291","grip",2
"292","cat",2
"293","normal",2
"294","fals",2
"295","magic",2
"296","faulti",2
"297","copper",2
"298","bee",2
"299","pot",2
