userid;gender;age;w1;w2;w3;w4;w5
1;2;65;creature;red;mate;turn;mixed
2;2;36;hapless;gainful;serious;sail;mind
3;1;56;care;pigs;like;knowing;trite
4;2;22;cheer;wonderful;relation;help;touch
5;1;55;gaping;curly;icicle;bouncy;blink
6;0;49;uppity;voice;rush;grease;drop
7;1;21;entertaining;faded;haunt;watch;ship
8;1;39;degree;expand;camp;boundless;fresh
9;0;54;escape;terrific;repeat;sisters;bone
10;1;61;flap;remain;ink;lock;burn
11;0;20;agree;merciful;crime;frantic;macho
12;1;59;pack;blushing;exercise;selection;belligerent
13;0;39;internal;wobble;peck;office;island
14;2;64;shrug;examine;humorous;kick;dam
15;2;57;reply;like;fearful;brief;carpenter
16;2;16;attach;tour;desert;funny;habitual
17;1;44;responsible;blue-eyed;ban;grape;festive
18;1;32;abhorrent;hang;penitent;judge;muddled
19;1;54;wait;orange;ignorant;division;plug
20;1;57;harmony;dusty;smiling;grubby;act
21;1;17;regret;telling;tasty;afford;bottle
22;2;47;branch;step;dry;dare;murder
23;0;55;channel;shop;exotic;last;disillusioned
24;1;50;cover;alert;laugh;interesting;red
25;0;32;breezy;questionable;squeamish;pickle;rigid
26;0;59;learned;porter;bleach;tasteful;consist
27;2;65;tedious;holiday;correct;calendar;swim
28;0;56;ordinary;wet;plane;likeable;provide
29;1;62;save;evasive;pollution;partner;zany
30;0;18;jar;wire;old;coordinated;mourn
31;0;30;star;bake;overwrought;stroke;trot
32;0;60;gusty;overwrought;daughter;compete;health
33;2;16;proud;verdant;draconian;error;descriptive
34;2;25;elegant;cumbersome;warn;equal;nondescript
35;2;62;force;bite;holiday;earthy;nutty
36;1;66;mug;trees;loud;queue;adventurous
37;2;27;disarm;desk;airplane;spring;maid
38;2;26;lunchroom;trap;writer;pipe;hope
39;1;25;afterthought;romantic;familiar;jar;cushion
40;0;50;open;look;itch;haunt;rotten
41;0;17;handle;cycle;ear;cycle;beneficial
42;2;45;doubt;supreme;hellish;foregoing;receive
43;0;62;misty;beginner;fat;rat;better
44;0;62;taste;mouth;dust;smash;wrathful
45;0;57;decide;juggle;satisfy;outstanding;feeble
46;0;24;healthy;direful;educated;slip;stage
47;1;46;level;stomach;responsible;plan;deceive
48;2;48;fixed;rich;absorbing;man;lick
49;0;62;edge;hungry;expect;label;TRUE
50;0;29;injure;giants;reach;representative;careful
51;0;36;terrific;claim;marked;teeny;next
52;0;68;telling;efficacious;wiry;silent;berserk
53;1;68;shelter;living;mountainous;train;branch
54;0;19;habitual;move;obedient;dolls;juvenile
55;1;64;sail;oval;pump;milk;fast
56;2;51;verdant;geese;remove;deserve;scarce
57;1;15;longing;incredible;interesting;soggy;actually
58;1;51;snakes;apathetic;impartial;numerous;cooing
59;1;32;seat;eggnog;man;surprise;tricky
60;1;68;rhythm;direction;kneel;stale;flagrant
61;1;42;air;ticket;existence;mend;ambitious
62;2;58;stamp;cloth;ruddy;dust;foamy
63;1;53;incompetent;vein;fair;abject;testy
64;2;49;undesirable;instrument;invent;painful;handle
65;1;55;green;purple;obnoxious;hysterical;quince
66;2;29;valuable;enchanted;wasteful;nod;bumpy
67;1;65;obeisant;bike;stingy;ablaze;jail
68;2;49;frame;maid;thankful;team;interesting
69;2;42;average;efficacious;incredible;airport;hesitant
70;0;32;clap;sister;mask;cheat;rod
71;2;51;woozy;fallacious;imported;command;stereotyped
72;0;31;spot;dull;call;tawdry;trouble
73;1;61;wish;unwritten;key;unused;fearful
74;1;26;godly;challenge;jittery;overt;endurable
75;2;68;unit;reminiscent;worm;dynamic;fearful
76;0;19;sudden;amusement;coil;gate;tremendous
77;2;28;daily;smell;far-flung;time;destruction
78;1;41;entertaining;pail;middle;admire;substantial
79;1;57;cushion;yielding;trap;squalid;need
80;2;46;mass;guttural;one;pump;water
81;1;35;scatter;friend;automatic;enter;pizzas
82;2;32;efficacious;invent;greasy;pollution;men
83;1;21;time;trashy;raspy;trousers;pie
84;2;69;alert;flavor;equal;nonstop;absorbed
85;0;37;fancy;pipe;foolish;like;continue
86;2;62;fear;blink;flawless;expand;year
87;1;44;concentrate;weather;obey;boundless;curl
88;0;23;want;empty;curve;parallel;nasty
89;2;51;range;roll;reaction;ugliest;bike
90;1;15;dull;finger;sheep;sip;rod
91;2;35;mitten;tasty;somber;dust;devilish
92;0;32;hallowed;wicked;old-fashioned;tick;repeat
93;0;18;cattle;spurious;idiotic;nutritious;didactic
94;0;29;righteous;linen;gray;channel;vigorous
95;1;35;trouble;curious;happy;rigid;squalid
96;0;31;necessary;quickest;plain;manage;rob
97;0;26;quarrelsome;deceive;awful;push;macho
98;0;31;amusing;wail;bridge;tap;obsolete
99;0;18;shock;suspect;rhyme;important;rush
100;1;48;thin;point;base;windy;polish
101;1;22;ragged;pail;aback;kettle;delicate
102;2;63;whirl;letters;present;combative;jam
103;0;58;alluring;utopian;possible;voice;sleepy
104;2;24;decay;noxious;wiggly;mother;kitty
105;1;64;savory;immense;violent;describe;rub
106;2;29;use;trashy;glass;wooden;pack
107;1;42;apparel;hate;interest;alleged;cool
108;1;15;shrug;dull;ants;workable;jump
109;0;41;alike;abortive;unequaled;screw;pets
110;2;16;chubby;plantation;petite;puffy;icicle
111;1;19;bored;possess;wild;certain;wicked
112;2;32;hurt;suit;heavy;entertain;debonair
113;1;55;pastoral;squeal;nest;pathetic;aware
114;0;44;jaded;whirl;nappy;spiteful;scare
115;2;37;lick;water;subsequent;pail;train
116;0;39;present;gifted;arrogant;rightful;frequent
117;0;17;cave;cautious;scintillating;silky;found
118;1;32;own;anger;pleasant;capable;adamant
119;2;48;expand;sofa;remind;swift;touch
120;0;42;cry;excited;harass;debonair;numberless
121;2;57;drum;historical;mighty;hapless;unhealthy
